Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
CPU,YD292XA8AFWOF,AMD,Ryzen TR 2920X,160,80.7,3902,https://cpu.userbenchmark.com/SpeedTest/625966/AMD-Ryzen-Threadripper-2920X-12-Core-Processor
CPU,BX80671I76800K,Intel,Core i7-6800K,161,80.6,38324,https://cpu.userbenchmark.com/Intel-Core-i7-6800K/Rating/3607
CPU,BX80684I39100F,Intel,Core i3-9100F,162,80.6,18728,https://cpu.userbenchmark.com/Intel-Core-i3-9100F/Rating/4054
CPU,,Intel,Core i7-5775R,163,80.5,158,https://cpu.userbenchmark.com/SpeedTest/39919/IntelR-CoreTM-i7-5775R-CPU---330GHz
CPU,,Intel,Core i7-8809G,164,80.5,3729,https://cpu.userbenchmark.com/SpeedTest/422264/IntelR-CoreTM-i7-8809G-CPU---310GHz
CPU,BX80648I75960X,Intel,Core i7-5960X,165,80.5,15468,https://cpu.userbenchmark.com/Intel-Core-i7-5960X/Rating/2580
CPU,,Intel,Core i7-5950HQ,166,80.4,172,https://cpu.userbenchmark.com/SpeedTest/29765/IntelR-CoreTM-i7-5950HQ-CPU---290GHz
CPU,BX8070110100F,Intel,Core i3-10100F,167,80.4,39812,https://cpu.userbenchmark.com/Intel-Core-i3-10100F/Rating/4082
CPU,BX80673I77820X,Intel,Core i7-7820X,168,80.1,28524,https://cpu.userbenchmark.com/Intel-Core-i7-7820X/Rating/3928
CPU,,AMD,Ryzen 9 6900HX,169,80.1,371,https://cpu.userbenchmark.com/SpeedTest/1792755/AMD-Ryzen-9-6900HX-with-Radeon-Graphics
